Service Name,Description,Type,Depends on,Used by,Status,Decommission Date,Owner,Go Live Date,Business Risk,Product Theme,Last Update
NovaPoint,Catalogo API pubblico,UI App,"AlphaLayer
MatrixNet",Developers,Active,,Riley Flame,2024-04-29,Medium,Customer Facing Foundations,
BetaOps,Runbook distribuzione DB,Service,"ZenithOps
CoreForge",DBA,,,Riley Flame,,,Customer Facing Foundations,
FusionLab,Ambiente PoC per nuovi connettori,Platform,"GammaLink
NovaLab",Integration Guild,Active,,Kai Wolfe,2024-02-01,Low,Integration,
CoreZone,Portale self‑service team tecnici,UI App,"ZenithOps
CoreForge",Engineering,Active,,Kai Wolfe,2023-07-17,Low,Subscription Model Domain,
ZenithLayer,Policy engine per security posture,Service,"QuantumCore
LogicLab",Security,,,Riley Flame,,,Customer Facing Foundations,
GammaLab,Laboratorio modelli antifrode,Platform,"CyberFlow
DataLab",CareOps,Active,,Rowan Wolfe,2024-05-13,High,Data Science,
BetaEngine,Calcolo punteggi lead,Microservice,"DataLab
LogicEngine",AssistEdge,Active,,Zion Blaze,2023-10-27,Medium,Selling Opportunities,
MatrixFlow,ETL standard verso lakehouse,Data Pipeline,"DataStream
MatrixLayer",DataDock,Active,,Logan Ray,2022-12-19,Low,Back End,
FusionEngine,Regole orchestrazione ordini,Microservice,"LogicEngine
MatrixNet",ResolveHub,Active,,Logan Ray,2023-06-08,High,Payment Systems,
StreamNet,Networking per topic Kafka,Service,CoreStream,StreamNode,,,Riley Flame,,,Customer Facing Foundations,
PulseLink,Webhooks management e retry,Service,"QuantumSync
StreamNet",SupportSync,,,Riley Flame,,,Infra Pillars,
VisionOps,Runbook BI e data refresh,Service,"VisionForge
MatrixFlow",StatSphere,Active,,Kai Wolfe,2023-03-01,Low,Subscription Model Domain,
PulseStream,Streaming capture da frontend,Data Pipeline,"StreamAxis
BetaPulse",Web,,,Riley Flame,,,Infra Pillars,
CoreAxis,API core anagrafiche e consensi,API,"CoreSync
ZenithCore",All customer apps,Active,,Riley Flame,2022-10-03,Medium,Customer Facing Foundations,
PulseFlow,Event processing anti‑churn,Microservice,"PulseStream
LogicEngine",FutureStack,Active,,Zion Blaze,2024-01-11,Medium,Selling Opportunities,
AlphaOps,Tooling operatività API,Service,"AlphaLayer
ZenithOps",API Platform,Active,,Zion Blaze,2023-05-23,Low,Selling Opportunities,
LogicNet,Mesh servizi di regole,Service,"LogicSync
QuantumNet",LogicLab,,,Riley Flame,,,Infra Pillars,
ZenithGrid,Distribuzione configurazioni runtime,Service,"CoreForge
QuantumNet",EdgeOps,,,Riley Flame,,,Infra Pillars,
CorePulse,Health check centralizzato,Service,"ZenithGrid
BetaPulse",All services,Active,,Kai Wolfe,2023-04-03,Low,Subscription Model Domain,
StreamPulse,Heartbeat stream e SLA tracking,Service,"PulseStream
StreamNet",SRE,,,Riley Flame,,,Infra Pillars,
LogicWave,Feature toggle progressive delivery,Service,"LogicLab
ZenithOps",All apps,Active,,Riley Flame,2022-11-14,Low,Customer Facing Foundations,
OmegaPoint,Audit trail centralizzato,Service,"CoreSync
QuantumNet",RiskRadar,,,Riley Flame,,,Infra Pillars,
CoreSync,Sincronizzazione configurazioni e segreti,Service,CoreStream,All services,Active,,Riley Flame,2022-08-29,High,Infra Pillars,
QuantumPoint,Key management e HSM,Service,"CoreSync
ZenithCore",Payment Systems,,,Riley Flame,,,Infra Pillars,
FusionOps,Pannello operazioni ordini,UI App,"FusionEngine
OmegaPoint",ResolveHub,Active,,Zion Blaze,2023-10-10,Medium,Selling Opportunities,
DeltaFlow,CDC per DB legacy,Data Pipeline,"CoreHub
DataNet",FixPoint,,,Riley Flame,,,Infra Pillars,
SphereHub,Catalogo journey e touchpoint,Service,"VisionLab
BetaPulse",PatternFlow,,,Riley Flame,,,Infra Pillars,
StreamForge,Toolkit stream enrichment,Library,"StreamNode
LogicEngine",DevStream,Active,,Logan Ray,2023-01-19,Low,Back End,
CoreWave,API per preferenze di notifica,API,"CoreSync
PulseLink",SupportSync,,,Riley Flame,,,Infra Pillars,
FusionPoint,Orchestrazione pagamenti esterni,Service,"QuantumPoint
OmegaLink",Payment UI,Active,,Logan Ray,2024-04-05,High,Payment Systems,
DeltaAxis,Gestione migrazioni schema,Service,"MatrixNet
CoreForge",DataVista,Active,,Riley Flame,2023-02-07,Low,Infra Pillars,
EdgePoint,Gateway edge verso core,Service,"NovaNode
QuantumNet",EdgeOps,Active,,Logan Ray,2023-07-24,Medium,Back End,
SphereNet,Grafo entità cliente,Service,"MatrixLayer
VisionLab",AI Nexus,,,Logan Ray,,,Payment Systems,
GammaFlow,Pipeline scoring antifrode,Data Pipeline,"CyberFlow
MatrixFlow",CareOps,Active,,Logan Ray,2024-03-07,High,Payment Systems,
GammaForge,Toolkit feature engineering,Library,"DataLab
VisionLab",Data Science Guild,Active,,Rowan Wolfe,2023-06-01,Medium,Data Science,
OmegaHub,Hub compliance e retention,Service,"OmegaPoint
CoreSync",AgileWorks,,,Logan Ray,,,Payment Systems,
GammaNode,Servizio orchestrazione modelli,Service,"VisionLab
GammaForge",AI Nexus,Active,,Rowan Wolfe,2023-11-22,High,Data Science,
OmegaOps,Runbook incidenti pagamento,Service,"FusionPoint
QuantumPoint",Payment Ops,Active,,"",2024-01-15,High,Service Management,
CyberNode,Scanner sicurezza dipendenze,Service,"CoreForge
ZenithOps",DevStream,,,Logan Ray,,,Payment Systems,
StreamFlow,Stream ETL real‑time verso lake,Data Pipeline,"StreamNode
MatrixFlow",DataDock,Active,,Logan Ray,2023-12-19,Medium,Back End,
DataHub,Data lakehouse centrale,Platform,"CoreStream
DeltaFlow",All analytics,Active,,Riley Flame,2022-09-26,High,Infra Pillars,
DataEngine,Query engine interattivo,Service,"DataHub
MatrixLayer",StatSphere,,,Logan Ray,,,Payment Systems,
CoreHub,Service bus per sistemi legacy,Service,"CoreStream
Integration",FixPoint,,,Logan Ray,,,Payment Systems,
DeltaWave,Replicazione DB multi‑region,Service,"CoreHub
DeltaFlow",FixPoint,Active,,Riley Flame,2023-05-05,Medium,Infra Pillars,
FusionWave,Router eventi pagamenti,Service,"FusionPoint
QuantumSync",Payment UI,Active,,Logan Ray,2024-06-21,High,Payment Systems,
DataNet,Magistrale dati condivisa,Service,"CoreStream
MatrixNet",All teams,Active,,Riley Flame,2022-10-21,Low,Infra Pillars,
QuantumHub,Registry topic e ACL eventi,Service,"StreamNet
QuantumNet",All streaming apps,Active,,Riley Flame,2023-08-11,Low,Infra Pillars,
NovaSync,Sincronizzazione asset marketing,Service,"AlphaLink
VisionLab",FutureStack,Active,,Logan Ray,2024-03-29,Low,Payment Systems,
DataPulse,Metriche qualità dati,Service,"DataNet
MatrixFlow",DataVista,Active,,Zion Blaze,2023-10-06,Medium,Selling Opportunities,
VisionGrid,Catalogo dashboard e permessi,Service,"VisionForge
DataEngine",StatSphere,Active,,Riley Flame,2023-09-18,Low,Customer Facing Foundations,
ZenithLab,Laboratorio resilienza e chaos,Platform,"ZenithOps
CoreStream",SRE,Active,,Riley Flame,2024-07-29,Medium,Infra Pillars,
GammaWave,Distribuzione modelli ai servizi,Service,"GammaNode
QuantumNet",AI Nexus,Active,,Logan Ray,2024-02-26,Medium,Back End,
EdgePulse,Metriche edge e alert,Service,"EdgePoint
BetaPulse",EdgeOps,Active,,"",2024-01-08,Medium,Service Management,
SphereAxis,Routing journey omnicanale,Service,"SphereNet
QuantumSync",PatternFlow,Active,,Riley Flame,2024-05-06,Medium,Customer Facing Foundations,
QuantumForge,SDK integrazione eventi,Library,"QuantumHub
StreamNet",DevStream,Active,,Kai Wolfe,2023-01-31,Low,Integration,
ZenithSync,Scheduling multicloud,Service,"ZenithOps
CoreStream",InfraGuard,Active,,Riley Flame,2023-11-10,Medium,Infra Pillars,
AlphaNode,Profilazione real‑time audience,Service,"AlphaLink
BetaPulse",FutureStack,Active,,Logan Ray,2024-04-22,High,Payment Systems,
CloudLab,Laboratorio app mobile,Platform,"CloudZone
BetaSync",CloudAxis,Active,,Blake Fox,2023-12-05,Low,New Markets,
CyberWave,Threat intel streaming,Service,"CyberEngine
QuantumSync",RiskRadar,Active,,Riley Flame,2024-06-10,High,Infra Pillars,
QuantumEngine,Engine scoring predittivo,Service,"GammaForge
DataLab",InsightGrid,Active,,Rowan Wolfe,2024-02-12,High,Data Science,
StreamCore,Core librerie streaming,Library,"StreamNet
CoreForge",DevStream,Active,,Logan Ray,2022-08-18,Low,Back End,
GammaGrid,Dataframe distribuito,Library,"DataEngine
DataHub",AI Nexus,Active,,Logan Ray,2023-06-14,Low,Back End,
ZenithHub,Portale SRE e affidabilità,UI App,"ZenithLab
CorePulse",SRE,Active,,Zion Blaze,2024-03-04,Medium,Selling Opportunities,
ZenithNode,Coordinamento job compute,Service,"ZenithHub
ZenithOps",DataVista,Active,,Riley Flame,2024-07-08,Medium,Infra Pillars,
MatrixSync,Sincronizzazione dataset condivisi,Service,"MatrixLayer
DataNet",DataDock,Active,,Kai Wolfe,2023-09-25,Medium,Integration,
StreamPoint,API publish/subscribe semplificate,API,"QuantumHub
StreamCore",Web Apps,Active,,Riley Flame,2023-12-01,Low,Customer Facing Foundations,
MatrixWave,Framework orchestrazione ETL,Library,"MatrixFlow
DataNet",DataVista,Active,,Logan Ray,2023-03-06,Low,Back End,
DeltaOps,Operatività migrazioni DB,Service,"DeltaAxis
DeltaFlow",DBA,Active,,Zion Blaze,2024-08-26,Medium,Selling Opportunities,
PulseLab,Laboratorio metriche prodotto,Platform,"VisionLab
BetaPulse",Product Managers,Active,,Riley Flame,2024-01-22,Low,Customer Facing Foundations,
EdgeSync,Sync configurazioni edge,Service,"ZenithGrid
NovaNode",EdgeOps,Active,,Riley Flame,2024-04-15,Medium,Infra Pillars,
LogicAxis,Gestione routing regole,Service,"LogicNet
LogicSync",LogicLab,Active,,Riley Flame,2023-10-17,Low,Infra Pillars,
LogicLink,SDK client per regole,Library,"LogicAxis
LogicLab",Web,,,Logan Ray,,,Payment Systems,
EdgeWave,Distribuzione OTA edge,Service,"EdgeSync
EdgePoint",EdgeOps,Active,,Jamie Rivers,2024-05-27,Medium,Mobile First,
OmegaPulse,Metriche conformità e audit,Service,"OmegaHub
OmegaPoint",RiskRadar,Active,,"",2024-06-24,Medium,Service Management,
QuantumTrack,Tracking journey avanzato,Service,"AlphaLink
BetaPulse",FutureStack,Active,,Kai Wolfe,2024-07-15,Medium,Subscription Model Domain,
LogicHub,Hub automazioni policy,Service,"ZenithOps
LogicNet",InfraGuard,Active,,Riley Flame,2023-02-13,Low,Infra Pillars,
OmegaWave,Distribuzione regole compliance,Service,"OmegaHub
LogicHub",RiskRadar,Active,,Zion Blaze,2024-03-28,Medium,Selling Opportunities,
EdgeNode,Runtime servizi su device,Service,"NovaNode
EdgeWave",EdgeOps,Active,,Jamie Rivers,2023-11-01,Medium,Mobile First,
DeltaEngine,Engine di migrazione dati,Service,"DeltaFlow
MatrixNet",DataDock,Active,,Kai Wolfe,2024-01-09,Medium,Integration,
MatrixOps,Operazioni data governance,Service,"MatrixNet
DataPulse",DataVista,Active,,Zion Blaze,2024-02-05,Medium,Selling Opportunities,
EdgeGrid,Rete overlay per branch/edge,Service,"QuantumNet
ZenithGrid",EdgeOps,Active,,Riley Flame,2023-08-07,Medium,Infra Pillars,
QuantumStream,Stream pubblico per partner,Service,"QuantumHub
AlphaLayer",Partners,Planned,,Kai Wolfe,2025-12-01,Medium,Integration,
EdgeEngine,Engine policy su edge,Service,"EdgeGrid
LogicLab",EdgeOps,Active,,Riley Flame,2023-12-22,Medium,Infra Pillars,
QuantumLayer,Layer eventi multi‑tenant,Service,"QuantumNet
StreamNet",All streaming apps,Active,,Kai Wolfe,2024-05-06,Medium,Integration,
NovaLink,SDK per partner esterni,Library,"AlphaLayer
NovaPoint",Partners,Active,,Riley Flame,2023-06-29,Low,Customer Facing Foundations,
PulseForge,Regole real‑time campagne,Service,"AlphaLink
BetaPulse",FutureStack,Active,,Kai Wolfe,2024-02-19,Medium,Subscription Model Domain,
CyberLayer,Layer security policy,Service,"CyberEngine
ZenithLayer",All apps,Active,,Riley Flame,2024-07-29,High,Infra Pillars,
EdgeNet,Peering reti edge/core,Service,"EdgeGrid
QuantumNet",EdgeOps,Active,,Riley Flame,2023-10-09,Medium,Infra Pillars,
ZenithPoint,Portale status e incidenti,UI App,"CorePulse
StreamPulse",All users,Active,,Zion Blaze,2024-01-31,Low,Selling Opportunities,
MatrixStream,Specifica standard eventi,Standard,"QuantumHub
StreamCore",All teams,Active,,Kai Wolfe,2023-02-24,Low,Integration,
ZenithStream,Stream eventi resiliente,Service,"QuantumLayer
StreamNet",All streaming apps,Active,,Logan Ray,2024-04-08,Medium,Back End,
AlphaGrid,Distribuzione workload AI,Service,"ZenithOps
QuantumCore",AI Nexus,Active,,Riley Flame,2024-06-17,Medium,Infra Pillars,
CloudTrack,Tracking crash e ANR mobile,Service,"CloudZone
BetaPulse",Mobile Apps,Active,,Jamie Rivers,2023-11-27,Medium,Mobile First,
StreamLab,Laboratorio A/B streaming,Platform,"StreamCore
BetaPulse",InsightGrid,Active,,Riley Flame,2024-03-11,Low,Customer Facing Foundations,
GammaTrack,Tracking frodi avanzato,Service,"CyberFlow
GammaWave",CareOps,Active,,Logan Ray,2024-08-05,High,Payment Systems,
FusionPulse,Metriche funnel pagamento,Service,"FusionPoint
DataEngine",Payment UI,Active,,Logan Ray,2024-06-13,High,Payment Systems,
CoreFlow,Workflow engine per ticketing,Service,"ZenithOps
OmegaPoint",AgileWorks,Active,,Zion Blaze,2023-05-08,Medium,Selling Opportunities,
AlphaAxis,Gestione scope API,Service,"AlphaLayer
LogicNet",API Platform,Active,,Zion Blaze,2023-07-20,Low,Selling Opportunities,
PulseWave,Event detector anomalie,Service,"PulseStream
BetaPulse",NOC,,,Logan Ray,,,Payment Systems,
AlphaNet,Registry client app,Service,"AlphaLayer
CoreSync",Customer Apps,Active,,Riley Flame,2023-09-01,Low,Customer Facing Foundations,
StreamHub,UI gestione topic e ACL,UI App,"QuantumHub
QuantumLayer",SRE,,,Logan Ray,,,Payment Systems,
CyberLab,Lab sicurezza e red‑team,Platform,"CyberEngine
OmegaHub",Security,Active,,Riley Flame,2024-09-16,High,Infra Pillars,
OmegaEngine,Engine policy conformità,Service,"OmegaHub
LogicHub",RiskRadar,Active,,Zion Blaze,2024-07-05,High,Selling Opportunities,
StreamGrid,Sharding stream per region,Service,"ZenithSync
StreamNet",Stream apps,Active,,Logan Ray,2023-08-25,Medium,Back End,
NovaAxis,Criteri accesso app partner,Service,"AlphaLayer
ZenithCore",Partners,Active,,Riley Flame,2024-02-06,Medium,Customer Facing Foundations,
QuantumPulse,Metriche eventi business,Service,"QuantumHub
MatrixNet",Business PMO,Active,,Zion Blaze,2024-03-15,Low,Selling Opportunities,
StreamAxis,API streaming lato client,Library,"StreamCore
StreamNet",Web,,,Logan Ray,,,Payment Systems,
LogicForge,SDK authoring regole,Library,"LogicLab
LogicHub",Logic owners,Active,,Riley Flame,2024-04-19,Low,Customer Facing Foundations,
MatrixPulse,Metriche qualità modelli,Service,"GammaHub
VisionLab",AI Nexus,Active,,Rowan Wolfe,2024-05-20,Medium,Data Science,
CloudCore,Core servizi mobile,Service,"CloudZone
AlphaNet",Mobile Apps,Active,,Jamie Rivers,2023-06-26,Medium,Mobile First,
DeltaLink,Bridge DB‑to‑stream,Service,"DeltaFlow
StreamNode",FixPoint,Active,,Kai Wolfe,2023-12-07,Low,Integration,
GammaNet,Rete modelli tra region,Service,"GammaWave
QuantumNet",AI Nexus,Active,,Logan Ray,2024-07-18,Medium,Back End,
MatrixZone,Domini dati ufficiali,Governance,"MatrixNet
DataPulse",DataVista,Active,,Zion Blaze,2023-04-27,Low,Selling Opportunities,
VisionCore,API componenti dashboard,Library,"VisionGrid
DataEngine",PatternFlow,Active,,Riley Flame,2023-09-14,Low,Customer Facing Foundations,
VisionPulse,Metriche consumo dashboard,Service,"VisionGrid
VisionOps",StatSphere,Active,,Zion Blaze,2024-06-28,Low,Selling Opportunities,
MatrixTrack,Tracciamento lineage dati,Service,"MatrixZone
MatrixFlow",DataVista,Active,,Zion Blaze,2024-02-27,Medium,Selling Opportunities,
VisionLink,Embed analytics in app,Service,"VisionForge
AlphaLayer",Business Apps,Active,,Riley Flame,2024-03-22,Low,Customer Facing Foundations,
CloudFlow,Sync dati mobile‑core,Service,"CloudCore
CoreSync",CloudAxis,Active,,Jamie Rivers,2023-08-02,Medium,Mobile First,
FusionAxis,Routing verso PSP,Service,"FusionPoint
OmegaLink",Payment UI,Active,,Logan Ray,2024-04-26,High,Payment Systems,
FusionSync,Sync stato transazioni,Service,"FusionPoint
DataNet",Payment Ops,Active,,Logan Ray,2024-08-09,High,Payment Systems,
GammaSync,Sync modelli e pesi,Service,"GammaWave
GammaGrid",AI Nexus,Active,,Logan Ray,2024-07-11,Medium,Back End,
MatrixAxis,Controlli accesso dataset,Service,"MatrixNet
ZenithLayer",DataVista,Active,,Riley Flame,2024-05-23,High,Infra Pillars,
AlphaCore,Core per client SDK,Library,"AlphaLayer
CoreSync",Developers,Active,,Riley Flame,2023-03-03,Low,Customer Facing Foundations,
ZenithFlow,Playbook incident management,Service,"ZenithHub
CorePulse",SRE,Active,,"",2024-05-17,Medium,Service Management,
CyberNet,Network isolamento build,Service,"CyberLayer
CoreForge",DevStream,Active,,Riley Flame,2024-01-26,Medium,Infra Pillars,
CyberZone,Policy device developer,Service,"CyberLayer
NovaNode",Developers,Active,,Riley Flame,2024-08-30,Medium,Infra Pillars,
OmegaTrack,Tracciamento audit pagamenti,Service,"OmegaPoint
FusionSync",Payment Ops,Active,,Logan Ray,2024-06-12,High,Payment Systems,
SpherePoint,Portale journey marketing,UI App,"SphereNet
VisionLink",FutureStack,Planned,,Blake Fox,2025-11-01,Medium,New Markets,
OmegaForge,SDK compliance,Library,"OmegaHub
OmegaEngine",Developers,Active,,Zion Blaze,2024-03-08,Medium,Selling Opportunities,
NovaOps,Operatività partner portal,UI App,"NovaPoint
NovaLink",Partner Ops,Active,,"",2024-02-09,Low,Service Management,
VisionZone,Zona sicura report esterni,Service,"VisionLink
ZenithCore",External BI,Active,,Riley Flame,2024-07-01,Medium,Customer Facing Foundations,
CoreStream,Core messaging aziendale,Platform,,All platforms,Active,,Riley Flame,2022-06-13,High,Infra Pillars,
CorePoint,API audit e logging,Service,"OmegaPoint
CoreStream",All apps,Active,,Riley Flame,2022-12-12,Medium,Infra Pillars,
CloudPoint,Endpoint push notifiche,Service,"CloudCore
CoreWave",Mobile Apps,Active,,Jamie Rivers,2023-11-02,Medium,Mobile First,
DataNode,Registry dataset edge,Service,"EdgeNode
MatrixNet",EdgeOps,Active,,Jamie Rivers,2024-03-05,Medium,Mobile First,
SphereEngine,Motore journey real‑time,Service,"SphereAxis
QuantumSync",PatternFlow,Active,,Riley Flame,2024-09-02,Medium,Customer Facing Foundations,
DataFlow,Orchestrazione job dati,Service,"MatrixFlow
DataNet",DataVista,Active,,Logan Ray,2023-10-16,Medium,Back End,
OmegaLayer,Layer regole audit,Service,"OmegaPoint
LogicHub",RiskRadar,Active,,"",2024-06-06,Medium,Service Management,
DataSync,Sincronizzazione tabelle chiave,Service,"DataNet
MatrixSync",FixPoint,Active,,Kai Wolfe,2023-05-29,Low,Integration,
FusionHub,Hub backend pagamenti,Service,"FusionPoint
QuantumPoint",Payment UI,Active,,Logan Ray,2024-03-14,High,Payment Systems,
OmegaSync,Sync regole e retention,Service,"OmegaHub
OmegaLayer",RiskRadar,Deprecated,2026-03-31,"",2022-09-01,High,Service Management,
